ID;Дата;Отправитель/Получатель;Тип;Фрираунды;Пользователь;Пояснение;"Сумма Реальная/Бонусная";"Баланс Реальный/Бонусный"
71020282288;"14.11.2022 15:39:23";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"6.00 RUB";"606.30 RUB ( 606.30/0.00 )"
71020283452;"14.11.2022 15:39:23";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"586.30 RUB ( 586.30/0.00 )"
71020291200;"14.11.2022 15:39:27";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"566.30 RUB ( 566.30/0.00 )"
71020298336;"14.11.2022 15:39:30";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"546.30 RUB ( 546.30/0.00 )"
71020305536;"14.11.2022 15:39:33";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"526.30 RUB ( 526.30/0.00 )"
71020318684;"14.11.2022 15:39:38";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"9.00 RUB";"535.30 RUB ( 535.30/0.00 )"
71020319932;"14.11.2022 15:39:39";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"515.30 RUB ( 515.30/0.00 )"
71020328328;"14.11.2022 15:39:43";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"495.30 RUB ( 495.30/0.00 )"
71020340448;"14.11.2022 15:39:48";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"4.00 RUB";"499.30 RUB ( 499.30/0.00 )"
71020341804;"14.11.2022 15:39:48";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"479.30 RUB ( 479.30/0.00 )"
71020349232;"14.11.2022 15:39:51";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"459.30 RUB ( 459.30/0.00 )"
71020387004;"14.11.2022 15:40:06";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"66.00 RUB";"525.30 RUB ( 525.30/0.00 )"
71020388280;"14.11.2022 15:40:07";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"505.30 RUB ( 505.30/0.00 )"
71020395760;"14.11.2022 15:40:10";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"485.30 RUB ( 485.30/0.00 )"
71020821424;"14.11.2022 15:43:18";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"442.00 RUB";"927.30 RUB ( 927.30/0.00 )"
71020823060;"14.11.2022 15:43:19";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"907.30 RUB ( 907.30/0.00 )"
71020841180;"14.11.2022 15:43:26";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"78.00 RUB";"985.30 RUB ( 985.30/0.00 )"
71020847316;"14.11.2022 15:43:29";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"945.30 RUB ( 945.30/0.00 )"
71020854452;"14.11.2022 15:43:32";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"905.30 RUB ( 905.30/0.00 )"
71020861692;"14.11.2022 15:43:35";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"865.30 RUB ( 865.30/0.00 )"
71020871904;"14.11.2022 15:43:39";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"825.30 RUB ( 825.30/0.00 )"
71020878296;"14.11.2022 15:43:42";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"785.30 RUB ( 785.30/0.00 )"
71020890128;"14.11.2022 15:43:48";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"16.00 RUB";"801.30 RUB ( 801.30/0.00 )"
71020891464;"14.11.2022 15:43:48";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"761.30 RUB ( 761.30/0.00 )"
71020899464;"14.11.2022 15:43:51";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"721.30 RUB ( 721.30/0.00 )"
71020906496;"14.11.2022 15:43:54";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"681.30 RUB ( 681.30/0.00 )"
71020917336;"14.11.2022 15:43:59";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"40.00 RUB";"721.30 RUB ( 721.30/0.00 )"
71020918796;"14.11.2022 15:44:00";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"681.30 RUB ( 681.30/0.00 )"
71020925596;"14.11.2022 15:44:03";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"641.30 RUB ( 641.30/0.00 )"
71020932948;"14.11.2022 15:44:06";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"601.30 RUB ( 601.30/0.00 )"
71020944756;"14.11.2022 15:44:11";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"561.30 RUB ( 561.30/0.00 )"
71020954132;"14.11.2022 15:44:15";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"521.30 RUB ( 521.30/0.00 )"
71020966612;"14.11.2022 15:44:20";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"60.00 RUB";"581.30 RUB ( 581.30/0.00 )"
71020968064;"14.11.2022 15:44:21";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"541.30 RUB ( 541.30/0.00 )"
71020976260;"14.11.2022 15:44:24";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-40.00 RUB";"501.30 RUB ( 501.30/0.00 )"
71020986632;"14.11.2022 15:44:29";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"481.30 RUB ( 481.30/0.00 )"
71020993532;"14.11.2022 15:44:32";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"461.30 RUB ( 461.30/0.00 )"
71021005364;"14.11.2022 15:44:37";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"20.00 RUB";"481.30 RUB ( 481.30/0.00 )"
71021006988;"14.11.2022 15:44:38";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"461.30 RUB ( 461.30/0.00 )"
71021015004;"14.11.2022 15:44:42";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"441.30 RUB ( 441.30/0.00 )"
71021023064;"14.11.2022 15:44:45";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"421.30 RUB ( 421.30/0.00 )"
71021029760;"14.11.2022 15:44:48";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"401.30 RUB ( 401.30/0.00 )"
71021040936;"14.11.2022 15:44:53";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"4.00 RUB";"405.30 RUB ( 405.30/0.00 )"
71021042416;"14.11.2022 15:44:54";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"385.30 RUB ( 385.30/0.00 )"
71021049880;"14.11.2022 15:44:57";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"365.30 RUB ( 365.30/0.00 )"
71021064468;"14.11.2022 15:45:02";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"10.00 RUB";"375.30 RUB ( 375.30/0.00 )"
71021065720;"14.11.2022 15:45:03";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"355.30 RUB ( 355.30/0.00 )"
71021078992;"14.11.2022 15:45:08";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Выигрыш Quickspin (Golden Glyph)  ";"4.00 RUB";"359.30 RUB ( 359.30/0.00 )"
71021080208;"14.11.2022 15:45:09";"Quickspin&nbsp;(969)";Обычная;;2130_279402;"Ставка Quickspin (Golden Glyph)  ";"-20.00 RUB";"339.30 RUB ( 339.30/0.00 )"
